receiver_sn,record_time,temperature
UP1 ,2024-03-19T14:19:25,8.5
UP1 ,2024-03-19T14:29:29,6.13
UP1,2024-03-19T14:39:35,5.5
UP1,2024-03-19T14:49:46,5
UP1,2024-03-19T14:59:58,4.63
UP1,2024-03-19T15:10:08,4.63
UP1,2024-03-19T15:20:18,4.5
UP1,2024-03-19T15:30:24,4.19
UP1,2024-03-19T15:40:24,2.81
UP1,2024-03-19T15:50:25,1.31
UP1,2024-03-19T16:00:33,0
UP1,2024-03-19T16:10:40,-1
UP1,2024-03-19T16:20:47,-2
UP1,2024-03-19T16:30:58,-2.81
UP1,2024-03-19T16:41:04,-3.44
UP1,2024-03-19T16:51:12,-4.13
UP1,2024-03-19T17:01:24,-4.75
UP1,2024-03-19T17:11:30,-5.06
UP1,2024-03-19T17:21:40,-5.19
UP1,2024-03-19T17:31:50,-5.5
UP1,2024-03-19T17:41:55,-6.06
UP1,2024-03-19T17:52:04,-6.75
UP1,2024-03-19T18:02:13,-7.44
UP1,2024-03-19T18:12:25,-8.06
UP1,2024-03-19T18:22:34,-8.75
UP1,2024-03-19T18:32:40,-9.38
UP1,2024-03-19T18:42:50,-10
UP1,2024-03-19T18:52:59,-10.5
UP1,2024-03-19T19:03:07,-10.88
UP1,2024-03-19T19:13:16,-11.06
UP1,2024-03-19T19:23:22,-11.25
UP1,2024-03-19T19:33:32,-11.44
UP1,2024-03-19T19:43:39,-11.81
UP1,2024-03-19T19:53:48,-12.13
UP1,2024-03-19T20:03:57,-12.44
UP1,2024-03-19T20:14:04,-12.75
UP1,2024-03-19T20:24:06,-13.06
UP1,2024-03-19T20:34:16,-13.25
UP1,2024-03-19T20:44:25,-13.44
UP1,2024-03-19T20:54:33,-13.63
UP1,2024-03-19T21:04:40,-13.56
UP1,2024-03-19T21:14:48,-13.5
UP1,2024-03-19T21:24:49,-13.5
UP1,2024-03-19T21:35:02,-13.38
UP1,2024-03-19T21:45:03,-13.5
UP1,2024-03-19T21:55:15,-13.81
UP1,2024-03-19T22:05:25,-14.06
UP1,2024-03-19T22:15:32,-14.13
UP1,2024-03-19T22:25:44,-14.19
UP1,2024-03-19T22:35:53,-14.06
UP1,2024-03-19T22:46:00,-14
UP1,2024-03-19T22:56:07,-14.06
UP1,2024-03-19T23:06:18,-14.25
UP1,2024-03-19T23:16:28,-14.25
UP1,2024-03-19T23:26:30,-14.31
UP1,2024-03-19T23:36:31,-14.5
UP1,2024-03-19T23:46:40,-14.56
UP1,2024-03-19T23:56:46,-14.56
UP1,2024-03-20T00:06:47,-14.69
UP1,2024-03-20T00:16:57,-14.88
UP1,2024-03-20T00:27:00,-15.06
UP1,2024-03-20T00:37:03,-15.19
UP1,2024-03-20T00:47:13,-15.38
UP1,2024-03-20T00:57:22,-15.5
UP1,2024-03-20T01:07:22,-15.56
UP1,2024-03-20T01:17:27,-15.56
UP1,2024-03-20T01:27:34,-15.44
UP1,2024-03-20T01:37:41,-15.38
UP1,2024-03-20T01:47:50,-15.31
UP1,2024-03-20T01:57:58,-15.44
UP1,2024-03-20T02:08:04,-15.38
UP1,2024-03-20T02:18:13,-15.31
UP1,2024-03-20T02:28:19,-15.38
UP1,2024-03-20T02:38:28,-15.56
UP1,2024-03-20T02:48:38,-15.5
UP1,2024-03-20T02:58:40,-15.56
UP1,2024-03-20T03:08:51,-15.75
UP1,2024-03-20T03:18:57,-15.81
UP1,2024-03-20T03:29:05,-16
UP1,2024-03-20T03:39:15,-16.25
UP1,2024-03-20T03:49:23,-16.44
UP1,2024-03-20T03:59:28,-16.63
UP1,2024-03-20T04:09:33,-16.81
UP1,2024-03-20T04:19:43,-16.88
UP1,2024-03-20T04:29:48,-16.88
UP1,2024-03-20T04:39:58,-16.88
UP1,2024-03-20T04:50:03,-16.94
UP1,2024-03-20T05:00:10,-16.94
UP1,2024-03-20T05:10:17,-16.94
UP1,2024-03-20T05:20:26,-16.94
UP1,2024-03-20T05:30:32,-17
UP1,2024-03-20T05:40:34,-16.94
UP1,2024-03-20T05:50:40,-16.94
UP1,2024-03-20T06:00:50,-17
UP1,2024-03-20T06:11:01,-17.19
UP1,2024-03-20T06:21:12,-17
UP1,2024-03-20T06:31:20,-16.88
UP1,2024-03-20T06:41:27,-16.94
UP1,2024-03-20T06:51:30,-16.88
UP1,2024-03-20T07:01:39,-16.81
UP1,2024-03-20T07:11:39,-16.69
UP1,2024-03-20T07:21:50,-16.56
UP1,2024-03-20T07:32:00,-16.5
UP1,2024-03-20T07:42:00,-16.5
UP1,2024-03-20T07:52:04,-16.5
UP1,2024-03-20T08:02:14,-16.44
UP1,2024-03-20T08:12:23,-16.25
UP1,2024-03-20T08:22:32,-16.31
UP1,2024-03-20T08:32:38,-16.25
UP1,2024-03-20T08:42:39,-15.19
UP1,2024-03-20T08:52:45,-14.13
UP1,2024-03-20T09:02:49,-13.19
